,Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,female,w,lnw
40852,87643,706902521990278,April,IN,5054.4958,961.53,40,44,1,,38,1,5,0,0,"Native, Born In US",3,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,0,24.038249999999998,3.179646311676199
41227,88399,94050189780622,April,KS,1206.3626,1350.0,45,44,1,,54,2,1,0,0,"Native, Born In US",4,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,1,30.0,3.4011973816621555
41343,88637,141830060600207,April,KY,1781.8908,1142.85,36,44,1,,34,2,1,2,3,"Native, Born In US",6,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-Absent,1,31.74583333333333,3.4577614831310184
41526,89051,222854026909394,April,LA,3843.0096,769.15,40,44,1,,34,2,1,1,1,"Native, Born In US",7,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,19.228749999999998,2.9564065548878236
41634,89286,16522630698448,April,ME,589.5206,1477.27,45,44,1,,58,2,1,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,32.82822222222222,3.4912885790336428
41656,89347,274956803052359,April,ME,569.6394,1808.66,35,46,1,,61,2,5,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-Absent,1,51.676,3.9449934570980547
41678,89400,502705242997143,April,ME,587.7131,769.23,40,44,1,,59,2,1,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,19.23075,2.9565105604002095
41710,89475,920938067022534,April,ME,608.4663,350.0,30,44,1,,43,2,3,1,3,"Native, Born In US",1,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,11.666666666666666,2.456735772821304
41807,89681,746043889229100,April,ME,571.3913,807.0,40,44,1,,60,2,5,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,20.175,3.0044442141560124
41915,89912,202907082995264,April,MD,1373.4423,2596.0,40,44,1,,49,1,1,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,0,64.9,4.1728476237100445
41938,89956,242393056907394,April,MD,2193.152,950.0,50,44,2,,27,2,7,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,19.0,2.9444389791664403
41947,89966,273922107054419,April,MD,1826.7935,354.55,35,44,1,,35,2,1,3,11,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,10.13,2.315501318260592
41956,89983,278926101074449,April,MD,1688.8124,1875.0,50,44,1,,50,2,1,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,37.5,3.624340932976365
41966,90006,297906306042427,April,MD,1688.8124,1509.0,40,44,1,,52,2,1,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,37.725,3.6303230046539126
41999,90078,489030996100722,April,MD,1826.7935,1590.9,40,46,1,,35,2,1,2,5,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,39.7725,3.6831757186972576
42055,90183,706708642990884,April,MD,1826.7935,1818.18,40,44,1,,36,2,1,1,2,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,45.4545,3.8167118256233215
42092,90249,867276489400908,April,MD,1685.1752,2641.0,50,44,1,,42,1,1,2,8,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,0,52.82,3.9668899068689862
42332,90755,502900272993145,April,MA,3348.7656,1442.0,50,44,1,,42,1,5,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2310,Government - Federal,No,No,Employed-At Work,0,28.84,3.3617633124167483
42482,91060,610670486130062,April,MI,3100.6819,1442.3,40,44,1,,35,2,1,2,5,"Native, Born In US",3,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,36.0575,3.585114886475528
42523,91145,876619960279200,April,MI,3283.2493,673.0,40,44,1,,28,2,1,0,0,"Native, Born In US",3,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-Absent,1,16.825,2.8228658755307916
42716,91523,137820160280204,April,MN,1737.1224,1038.46,40,44,1,,34,1,1,2,5,"Native, Born In US",4,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,0,25.9615,3.2566146713684687
42732,91544,206018382104217,April,MN,1621.205,1200.0,50,44,1,,38,2,1,3,8,"Native, Born In US",4,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,24.0,3.1780538303479458
42768,91608,297936804071799,April,MN,1468.3933,1315.78,45,44,1,,41,2,5,1,2,"Native, Born In US",4,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,29.239555555555555,3.3755224348876576
42869,91801,272595036909469,April,MN,1431.4489,846.15,40,44,1,,44,2,1,1,4,"Native, Born In US",4,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,21.15375,3.0518171947401584
43021,92088,6909902998658,April,MS,2215.126,692.0,40,44,1,,45,2,1,1,4,"Native, Born In US",6,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,1,17.3,2.8507065015037334
43223,92640,761291459900981,April,MO,2628.9315,692.0,40,44,1,,44,2,1,0,0,"Native, Born In US",4,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,17.3,2.8507065015037334
43227,92646,965263459900914,April,MO,3059.3171,653.84,40,44,1,,29,2,1,1,2,"Native, Born In US",4,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,16.346,2.793983219093938
43400,93020,713358026909799,April,NE,859.3902,1621.0,40,44,1,,57,1,1,1,4,"Native, Born In US",4,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,0,40.525,3.70191906762174
43424,93061,95323210018007,April,NE,995.205,600.0,40,44,1,,37,2,1,3,8,"Native, Born In US",4,Elementary and secondary schools (6111),2310,"Private, Nonprofit",No,Yes,Employed-At Work,1,15.0,2.70805020110221
43469,93157,630107961728899,April,NE,816.7197,1621.62,40,44,1,,60,1,1,0,0,"Native, Born In US",4,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,0,40.540499999999994,3.702301474445577
43657,93558,690325017636060,April,NV,1295.4998,961.53,40,44,1,,39,2,5,0,0,"Native, Born In US",8,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,24.038249999999998,3.179646311676199
43779,93792,110834079336469,April,NH,493.6748,557.69,40,44,1,,45,2,5,2,3,"Native, Born In US",1,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,13.942250000000001,2.6349237983336518
43805,93837,369310421680763,April,NH,568.0674,1057.69,40,44,1,,29,2,1,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,26.44225,3.274963109698682
43900,94019,230307906437173,April,NH,497.3665,1500.0,40,44,1,,41,1,5,1,2,"Native, Born In US",1,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,0,37.5,3.624340932976365
43901,94020,230307906437173,April,NH,531.0116,1350.0,40,44,1,,39,2,5,2,8,"Native, Born In US",1,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,33.75,3.518980417318539
44143,94510,489920317620963,April,NJ,3784.0317,540.0,40,44,1,3.0,30,2,3,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2310,"Private, Nonprofit",No,No,Employed-At Work,1,13.5,2.6026896854443837
44284,94814,931035891369580,April,NM,1568.7564,1720.0,40,44,1,,43,2,1,1,3,"Native, Born In US",8,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,1,43.0,3.7612001156935624
44429,95121,230609940988196,April,NY,2910.1548,1538.46,35,44,1,,46,2,5,1,4,"Foreign Born, US Cit By Naturalization",2,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,43.956,3.7831891335846777
44453,95196,392972806016627,April,NY,4173.9918,1038.46,50,44,1,,28,1,7,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,0,20.7692,3.033471120054259
44496,95290,546949920179309,April,NY,3323.6548,1538.46,35,46,1,,33,1,3,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,0,43.956,3.7831891335846777
44608,95521,963206026909495,April,NY,3458.7014,1442.0,35,44,1,,62,1,7,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2310,"Private, For Profit",Yes,,Employed-At Work,0,41.2,3.7184382563554808
44612,95533,975066686329810,April,NY,3499.3604,475.0,40,44,1,,31,2,7,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,1,11.875,2.474435349920705
44613,95534,977066862369750,April,NY,3400.3674,538.0,40,44,2,,50,2,5,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,13.45,2.598979106047848
44619,95542,664096636309,April,NY,4201.5297,673.07,35,44,1,3.0,41,2,1,1,1,"Native, Born In US",2,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,19.23057142857143,2.956501274633526
44620,95545,2900903291916,April,NY,3026.2785,1596.0,35,44,2,,40,2,7,1,1,"Native, Born In US",2,Elementary and secondary schools (6111),2310,"Private, For Profit",Yes,,Employed-At Work,1,45.6,3.8199077165203406
44679,95675,230609991090120,April,NY,3262.1901,800.0,40,45,2,,58,2,1,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,20.0,2.995732273553991
44705,95736,395916300051619,April,NY,3369.7261,1403.0,40,44,1,,30,1,7,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-Absent,0,35.075,3.5574886259885248
44737,95812,630609944477340,April,NY,3496.8621,2269.23,38,44,1,,37,2,1,3,11,"Native, Born In US",2,Elementary and secondary schools (6111),2310,"Private, For Profit",Yes,,Employed-At Work,1,59.71657894736842,4.08960968615688
44751,95831,666301630600124,April,NY,4231.8502,1403.84,40,44,1,,27,1,7,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,0,35.096,3.5580871638639127
44816,95985,106902273996076,April,NY,3248.9651,1153.0,32,44,1,,52,1,1,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,0,36.03125,3.5843866174693324
44831,96027,394966402068649,April,NY,3222.6548,1500.0,43,44,1,,64,2,1,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,34.883720930232556,3.552020271396739
44840,96053,602905293992746,April,NY,3456.7573,750.0,35,44,1,,37,2,1,1,3,"Native, Born In US",2,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,21.428571428571427,3.0647251450409425
44847,96071,906908293998026,April,NY,3523.5909,769.23,40,44,1,,49,2,1,3,10,"Native, Born In US",2,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,19.23075,2.9565105604002095
45060,96544,396916401000749,April,NC,3388.8846,1523.0,40,46,1,,50,2,1,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,1,38.075,3.6395578987812254
45108,96671,273670006909660,April,NC,3588.5338,769.0,40,44,1,,52,2,1,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,19.225,2.9562115153917077
45173,96810,502606503992948,April,ND,356.1801,1250.0,40,44,1,,31,1,1,1,1,"Native, Born In US",4,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,0,31.25,3.4420193761824107
45174,96811,502606503992948,April,ND,419.2006,884.0,40,44,1,,29,2,1,1,1,"Native, Born In US",4,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,22.1,3.095577608523707
45232,96931,302092100012812,April,ND,395.0026,961.53,45,44,1,,56,2,1,1,4,"Native, Born In US",4,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,21.36733333333333,3.0618632760198157
45383,97192,49313290985797,April,OH,3495.3368,750.0,35,44,1,,33,2,1,2,2,"Native, Born In US",3,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,21.428571428571427,3.0647251450409425
45587,97583,67079131360180,April,OH,3436.8989,1250.0,40,44,1,,39,2,1,4,10,"Native, Born In US",3,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,31.25,3.4420193761824107
45598,97614,302608053992799,April,OH,3031.7747,1277.77,40,44,1,,37,1,1,2,3,"Native, Born In US",3,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,0,31.94425,3.4639921959261386
45599,97615,302608053992799,April,OH,3436.8989,1305.55,40,44,1,,38,2,1,2,3,"Native, Born In US",3,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,32.63875,3.4855002327939464
45623,97669,630906946463091,April,OH,3639.2628,750.0,40,44,1,,28,2,1,2,5,"Native, Born In US",3,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,18.75,2.9311937524164198
45771,98007,228469619000940,April,OK,2109.8942,721.15,40,46,2,,64,1,5,0,0,"Native, Born In US",7,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,0,18.02875,2.891967705915583
45856,98227,100819096142439,April,OR,2326.323,1615.38,40,44,1,,58,2,1,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,40.3845,3.6984460479831482
45881,98275,602707704799581,April,OR,2568.1073,1153.84,50,44,1,,54,2,5,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,23.0768,3.1388277838471086
45976,98511,506906984991582,April,PA,2900.0179,1673.07,40,44,1,,61,2,1,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,1,41.82675,3.7335360870017613
45990,98541,725498509200998,April,PA,3155.9528,2884.61,40,44,1,,57,2,5,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,72.11525,4.27826553371462
46012,98592,24911016907292,April,PA,3064.5753,1600.0,40,44,1,,40,2,1,2,2,"Native, Born In US",2,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,40.0,3.6888794541139363
46084,98735,289230056120964,April,PA,3341.7363,1403.84,40,44,1,,31,2,1,1,1,"Native, Born In US",2,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-Absent,1,35.096,3.5580871638639127
46210,98985,74774220694195,April,PA,3361.3295,1153.0,40,44,1,,45,2,1,2,10,"Native, Born In US",2,Elementary and secondary schools (6111),2310,"Private, Nonprofit",No,No,Employed-At Work,1,28.825,3.3612430661551227
46295,99173,495942000087239,April,PA,3409.8517,1153.84,50,44,1,,53,2,3,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2310,Government - Local,No,Yes,Employed-At Work,1,23.0768,3.1388277838471086
46337,99267,240407962907976,April,RI,528.5574,1500.0,31,44,1,,49,2,5,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-Absent,1,48.38709677419355,3.879233182605155
46430,99463,240407922901576,April,RI,432.0609,730.0,40,44,1,,61,2,1,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,18.25,2.9041650800285006
46511,99659,869471589400760,April,RI,492.1002,400.0,35,44,1,,53,2,1,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,11.428571428571429,2.436116485618568
46513,99662,870644097846029,April,RI,492.1002,1346.15,40,44,1,,53,2,1,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,33.65375,3.516124491189194
46552,99754,401036906028531,April,SC,2895.0183,576.0,40,44,1,,32,2,1,1,3,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,14.4,2.667228206581955
46676,100005,510100554170164,April,SC,3796.5995,961.0,40,44,2,,29,2,1,1,1,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,1,24.025,3.1790949548563563
47180,101066,494976305049849,April,TX,3559.7701,769.23,45,44,1,,57,2,1,0,0,"Native, Born In US",7,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,1,17.094,2.838727524743826
47253,101184,810390203620064,April,TX,3330.802,969.23,40,44,1,2.0,45,2,7,0,0,"Native, Born In US",7,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,24.23075,3.187622487712988
47387,101436,70038182420820,April,TX,3285.1058,692.0,40,44,1,,28,2,1,2,5,"Native, Born In US",7,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-Absent,1,17.3,2.8507065015037334
47388,101437,70038182420820,April,TX,3848.8602,1403.0,40,44,1,,29,1,1,2,5,"Native, Born In US",7,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,0,35.075,3.5574886259885248
47571,101794,819460373200964,April,TX,3243.5215,675.0,40,44,2,,42,2,1,3,3,"Native, Born In US",7,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,16.875,2.8258332367585934
47608,101889,970685099742198,April,TX,3449.0043,961.53,50,44,1,1.0,34,2,1,1,1,"Native, Born In US",7,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-Absent,1,19.2306,2.9565027603619893
47712,102070,928519320486402,April,TX,2593.7363,980.76,40,44,1,,44,2,1,3,3,"Native, Born In US",7,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,24.519,3.199448327202102
47947,102519,706902624997219,April,UT,1511.8156,1057.69,50,44,1,,56,2,1,0,0,"Native, Born In US",8,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,21.1538,3.0518195583844725
47980,102581,94460974790665,April,VT,425.6493,1050.0,50,44,1,,43,2,1,2,2,"Native, Born In US",1,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,21.0,3.044522437723423
48006,102638,530804068552529,April,VT,292.2989,1200.0,40,44,1,,62,2,7,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,30.0,3.4011973816621555
48095,102841,650006906437193,April,VT,326.2176,1250.0,40,44,1,,47,2,1,1,4,"Native, Born In US",1,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,31.25,3.4420193761824107
48206,103045,78011162520080,April,VA,3209.6789,733.0,55,44,1,,28,2,1,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,13.327272727272728,2.5898125166541806
48229,103083,161850460470505,April,VA,3364.2929,300.0,20,45,1,,47,2,1,3,3,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,15.0,2.70805020110221
48232,103088,181700020570507,April,VA,3031.2024,1250.0,40,44,1,,35,2,1,2,5,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,31.25,3.4420193761824107
48368,103379,25745610115808,April,VA,3330.1476,1538.0,40,44,1,,47,2,1,1,3,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,38.45,3.649358695951653
48390,103435,1965230111605,April,WA,1974.8653,1250.0,50,44,1,,33,2,7,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,25.0,3.2188758248682006
48566,103756,883359220449507,April,WA,1994.0807,865.38,40,44,1,,39,2,1,2,4,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,21.6345,3.0742892627095375
48595,103819,250309906437193,April,WA,2372.7976,1096.15,40,44,1,,56,2,1,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,27.403750000000002,3.310679865343238
48694,104030,194650820580501,April,WV,1150.5585,768.4,40,44,1,,31,2,7,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,19.21,2.955430976780465
48766,104205,904279920156506,April,WV,1076.9807,865.0,40,44,1,,40,2,1,1,3,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,21.625,3.073850052817943
48842,104371,38475250016405,April,WI,2135.0599,888.88,40,44,1,,42,2,1,3,3,"Native, Born In US",3,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,1,22.222,3.101082789161817
48944,104585,575916002048549,April,WI,2194.7794,1000.0,42,44,1,,41,2,1,2,3,"Native, Born In US",3,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,23.80952380952381,3.170085660698769
49048,104767,755229022909478,April,WI,2504.1634,1050.0,40,44,1,,32,2,1,0,0,"Native, Born In US",3,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,26.25,3.2676659890376327
49055,104777,824594239500978,April,WI,2328.1366,1096.0,40,44,1,,53,2,7,0,0,"Native, Born In US",3,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,27.4,3.3105430133940246
49070,104812,90925660699744,April,WY,390.8774,1250.0,45,44,1,,60,1,1,1,4,"Native, Born In US",8,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,0,27.77777777777778,3.324236340526027
49157,104984,986044820066507,April,WY,425.0841,1612.0,40,44,1,,53,2,1,0,0,"Native, Born In US",8,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,40.3,3.696351468952637
49174,105014,406909775999466,April,WY,323.844,697.5,38,44,1,,32,2,1,2,6,"Native, Born In US",8,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,18.355263157894736,2.909916353969135
49186,105038,596976407094699,April,WY,347.1972,551.25,35,44,1,,29,2,1,0,0,"Native, Born In US",8,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,15.75,2.7568403652716422
49230,105111,550917090803769,May,AL,3601.9117,903.0,40,44,2,,34,2,7,1,3,"Native, Born In US",6,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,22.575,3.116843099303049
49258,105174,199750811410670,May,AL,4309.8277,865.38,40,44,1,,28,2,1,1,1,"Native, Born In US",6,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,21.6345,3.0742892627095375
49262,105180,300100016635510,May,AL,3601.1347,600.0,40,44,1,,38,2,1,3,11,"Native, Born In US",6,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,15.0,2.70805020110221
49297,105268,199840552350630,May,AL,3202.0187,1492.0,40,44,1,,62,2,1,0,0,"Native, Born In US",6,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,1,37.3,3.6189933266497696
49355,105411,420395093909766,May,AK,440.8737,1538.46,40,44,1,,54,1,1,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,0,38.4615,3.649657740960155
49356,105412,420395093909766,May,AK,378.2771,1442.3,40,44,1,,54,2,1,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,36.0575,3.585114886475528
49364,105425,673032906039520,May,AK,388.3448,1307.69,53,44,1,,37,2,1,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,24.673396226415097,3.2057255873172554
49438,105590,590926063607399,May,AK,561.5145,700.0,40,44,2,1.0,31,2,2,2,3,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,17.5,2.8622008809294686
49444,105602,640720073403459,May,AK,385.7659,1446.0,40,44,1,,38,2,1,2,3,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,36.15,3.5876769486047735
49458,105643,749072922079580,May,AK,329.442,1615.38,40,44,1,,55,2,1,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,40.3845,3.6984460479831482
49528,105777,420220345870070,May,AZ,3298.4168,76.0,20,44,1,,40,2,1,0,0,"Native, Born In US",8,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,3.8,1.33500106673234
49564,105843,962034900079060,May,AZ,3606.0888,1057.69,40,44,1,,62,1,1,0,0,"Native, Born In US",8,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,0,26.44225,3.274963109698682
49681,106127,599120788380970,May,AR,1731.1675,2115.0,40,44,2,,38,2,1,0,0,"Native, Born In US",7,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,52.875,3.9679306373664422
49696,106163,850895087909766,May,AR,2240.0643,1428.57,40,44,1,,45,2,1,1,4,"Native, Born In US",7,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,1,35.71425,3.5755497688064333
49911,106637,260789083908894,May,CA,3339.0986,750.0,40,44,1,,43,1,7,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,0,18.75,2.9311937524164198
50131,107119,860222043001500,May,CA,3492.7651,850.0,40,44,1,,40,2,1,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,21.25,3.056356895370426
50157,107180,930009010600110,May,CA,2805.4869,1923.07,40,44,1,,60,2,1,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,48.07675,3.872798692268385
50194,107258,966036937079700,May,CA,2787.8717,1384.61,30,44,1,,64,2,5,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,46.153666666666666,3.831976408858159
50248,107383,8077003064671,May,CA,3859.9523,576.92,40,44,1,1.0,24,2,1,1,1,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,14.422999999999998,2.668824154601373
50252,107393,16460360929472,May,CA,2460.6026,1176.92,35,44,1,,62,2,1,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,33.626285714285714,3.515308074047074
50294,107525,93757806057646,May,CA,3480.1387,865.0,40,44,1,,31,2,1,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,21.625,3.073850052817943
50337,107599,107905160885836,May,CA,2838.012,1442.3,40,44,1,,61,1,1,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,0,36.0575,3.585114886475528
50458,107896,627970109080970,May,CA,3480.1387,1036.0,40,44,1,,34,2,7,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,25.9,3.254242968705492
